,day,side,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_dollars,rr,ote_low_used,ote_high_used,4h_trend,1h_trend
0,2014-01-02,long,2014-01-02 09:31:00-05:00,1223.29,1222.5718351025864,1226.6020524765695,2014-01-02 09:55:00-05:00,1226.6020524765695,tp,461.1827295510852,4.611827295510852,1222.61,1225.02,,Uptrend
1,2014-01-02,short,2014-01-02 10:33:00-05:00,1224.490016148533,1226.82403501026,1213.725924253784,2014-01-02 11:47:00-05:00,1226.82403501026,sl,-100.0,-1.0,1220.86,1226.7,,Uptrend
2,2014-01-03,long,2014-01-03 10:15:00-05:00,1233.39,1233.0626012967673,1234.899906276084,2014-01-03 10:24:00-05:00,1234.899906276084,tp,461.1827295510987,4.611827295510987,1233.08,1234.64,,Uptrend
3,2014-01-03,short,2014-01-03 11:28:00-05:00,1236.4,1237.160409891379,1232.8931209071632,2014-01-03 11:41:00-05:00,1237.160409891379,sl,-100.0,-1.0,1234.66,1237.12,,Uptrend
4,2014-01-06,long,2014-01-06 08:50:00-05:00,1240.74,1240.4970912846984,1241.8602530435455,2014-01-06 09:03:00-05:00,1241.8602530435455,tp,461.1827295511175,4.611827295511175,1240.51,1242.22,,Downtrend
5,2014-01-06,short,2014-01-06 09:26:00-05:00,1241.49,1242.1342361579739,1238.5188941019017,2014-01-06 09:36:00-05:00,1242.1342361579739,sl,-100.0,-1.0,1239.55,1242.1,,Downtrend
6,2014-01-07,long,2014-01-07 08:32:00-05:00,1237.09,1236.9315812726295,1237.8205998110072,2014-01-07 08:33:00-05:00,1236.9315812726295,sl,-100.0,-1.0,1236.94,1239.24,Uptrend,Downtrend
7,2014-01-08,short,2014-01-08 09:19:00-05:00,1222.7,1223.6716348612065,1218.2189878258189,2014-01-08 10:03:00-05:00,1223.6716348612065,sl,-100.0,-1.0,1220.02,1223.62,Downtrend,Uptrend
8,2014-01-08,long,2014-01-08 10:20:00-05:00,1220.93,1220.4019375754312,1223.3653327033599,2014-01-08 10:26:00-05:00,1223.3653327033599,tp,461.1827295510256,4.611827295510256,1220.43,1225.08,Downtrend,Uptrend
9,2014-01-09,short,2014-01-09 08:21:00-05:00,1230.18,1231.0988286187496,1225.9425210961547,2014-01-09 08:35:00-05:00,1231.0988286187496,sl,-100.0,-1.0,1228.09,1231.05,Uptrend,Downtrend
10,2014-01-09,long,2014-01-09 10:14:00-05:00,1226.3,1225.6029575995694,1229.514639168434,2014-01-09 10:21:00-05:00,1225.6029575995694,sl,-100.0,-1.0,1225.64,1227.62,Uptrend,Downtrend
11,2014-01-10,long,2014-01-10 08:41:00-05:00,1238.64,1237.5416301568969,1243.7054920229891,2014-01-10 09:51:00-05:00,1243.7054920229891,tp,461.18272955104703,4.61182729551047,1237.6,1245.19,Uptrend,Uptrend
12,2014-01-10,short,2014-01-10 10:52:00-05:00,1245.38,1245.9608686670258,1242.7011340263048,2014-01-10 11:13:00-05:00,1245.9608686670258,sl,-100.0,-1.0,1243.59,1245.93,Uptrend,Uptrend
13,2014-01-13,long,2014-01-13 11:28:00-05:00,1250.64,1250.6083162545258,1250.7861199622027,2014-01-13 11:28:00-05:00,1250.7861199622027,tp,461.18272955172205,4.61182729551722,1250.61,1253.17,Uptrend,Uptrend
14,2014-01-14,long,2014-01-14 08:02:00-05:00,1247.8860386307576,1247.0347612034495,1251.8119831060687,2014-01-14 09:47:00-05:00,1251.8119831060687,tp,461.1827295510059,4.611827295510059,1247.08,1249.21,Downtrend,Uptrend
15,2014-01-15,long,2014-01-15 10:02:00-05:00,1236.16,1235.0721914053884,1241.176785368921,2014-01-15 10:55:00-05:00,1241.176785368921,tp,461.18272955101685,4.611827295510168,1235.13,1237.96,Uptrend,Uptrend
16,2014-01-16,short,2014-01-16 08:21:00-05:00,1238.75,1239.4259199034482,1235.6327741396992,2014-01-16 08:30:00-05:00,1239.4259199034482,sl,-100.0,-1.0,1236.87,1239.39,Downtrend,Uptrend
