,day,side,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_dollars,rr,ote_low_used,ote_high_used,4h_trend,1h_trend
0,2023-01-05,long,2023-01-05 09:40:00-05:00,1834.935,1834.0643377006086,1840.3811789606025,2023-01-05 09:55:00-05:00,1834.0643377006086,sl,-100.0,-1.0,1833.825,1837.775,Uptrend,Uptrend
1,2023-01-09,short,2023-01-09 11:29:00-05:00,1876.4815118036163,1878.6412941138958,1862.9716113681086,2023-01-09 12:00:00-05:00,1875.568,close,42.29647586557338,0.0,1872.025,1879.235,Downtrend,Downtrend
2,2023-01-11,long,2023-01-11 08:57:00-05:00,1877.175,1876.156874176027,1883.543594856633,2023-01-11 09:23:00-05:00,1876.156874176027,sl,-100.0,-1.0,1875.877,1880.325,Uptrend,Downtrend
3,2023-01-12,long,2023-01-12 09:45:00-05:00,1883.7262154728376,1875.12453044653,1937.531595640052,2023-01-12 12:00:00-05:00,1892.045,close,96.71110371653997,0.0,1872.76,1901.475,Uptrend,Uptrend
4,2023-01-13,long,2023-01-13 10:03:00-05:00,1907.405,1906.7696518355792,1911.3792387009803,2023-01-13 10:20:00-05:00,1911.3792387009803,tp,625.5213949667533,6.2552139496675325,1906.595,1912.897,Uptrend,Uptrend
5,2023-01-18,short,2023-01-18 08:00:00-05:00,1917.215,1917.3169694584872,1916.5771592208307,2023-01-18 08:00:00-05:00,1917.3169694584872,sl,-100.0,-1.0,1914.755,1917.085,Downtrend,Uptrend
6,2023-01-20,long,2023-01-20 09:32:00-05:00,1921.195,1919.5854513168008,1931.2630713758183,2023-01-20 12:00:00-05:00,1924.125,close,182.03860688304252,0.0,1923.247,1925.675,Uptrend,Uptrend
7,2023-01-25,long,2023-01-25 10:02:00-05:00,1929.765,1929.5947894423712,1930.8297034544607,2023-01-25 10:02:00-05:00,1930.8297034544607,tp,625.5213949664261,6.255213949664261,1929.548,1932.785,Uptrend,Uptrend
8,2023-01-26,long,2023-01-26 09:35:00-05:00,1935.048,1932.2610962614976,1952.4806791414626,2023-01-26 09:48:00-05:00,1932.2610962614976,sl,-100.00000000000001,-1.0000000000000002,1931.495,1942.315,Uptrend,Downtrend
9,2023-01-27,long,2023-01-27 10:21:00-05:00,1924.675,1922.8105276705826,1936.3376733237417,2023-01-27 10:45:00-05:00,1922.8105276705826,sl,-100.0,-1.0,1922.298,1928.975,Uptrend,Uptrend
10,2023-01-31,long,2023-01-31 07:38:00-05:00,1902.465,1901.9237774895676,1905.8504625971307,2023-01-31 07:39:00-05:00,1901.9237774895676,sl,-100.0,-1.0,1901.775,1903.945,Uptrend,Uptrend
11,2023-02-01,short,2023-02-01 07:42:00-05:00,1930.0939843793317,1931.1693822286943,1923.3671407505556,2023-02-01 07:44:00-05:00,1931.1693822286943,sl,-100.0,-1.0,1927.875,1931.465,Downtrend,Uptrend
12,2023-02-01,long,2023-02-01 12:00:00-05:00,1924.025,1923.2798385725932,1928.6861441554704,2023-02-01 12:00:00-05:00,1924.025,close,0.0,0.0,1924.975,1932.185,Uptrend,Uptrend
13,2023-02-03,short,2023-02-03 08:21:00-05:00,1916.135,1916.8017233824166,1911.9645025977368,2023-02-03 08:30:00-05:00,1911.9645025977368,tp,625.5213949669132,6.255213949669132,1913.995,1916.985,Downtrend,Downtrend
14,2023-02-06,long,2023-02-06 11:11:00-05:00,1866.365,1865.282554979135,1873.1359251942638,2023-02-06 12:00:00-05:00,1866.608,close,22.44917712363474,0.0,1864.985,1868.965,Uptrend,Uptrend
15,2023-02-07,long,2023-02-07 09:30:00-05:00,1867.435,1865.99173997218,1876.4629002590173,2023-02-07 10:50:00-05:00,1876.4629002590173,tp,625.5213949668206,6.255213949668206,1865.595,1870.895,Uptrend,Uptrend
