,day,side,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_dollars,rr,ote_high_used,ote_low_used,4h_trend,1h_trend
26,2016-02-18,short,2016-02-18 09:32:00-05:00,1208.25,1209.045995564698,1204.4581389886948,2016-02-18 09:44:00-05:00,1209.045995564698,sl,-100.0,-1.0,1207.49,1204.63,Uptrend,Uptrend
27,2016-02-19,short,2016-02-19 09:00:00-05:00,1230.31,1232.3837779185549,1220.4312042073889,2016-02-19 11:03:00-05:00,1232.3837779185549,sl,-100.0,-1.0,1232.29,1222.28,Uptrend,Downtrend
28,2016-02-22,short,2016-02-22 10:12:00-05:00,1213.71,1215.0401504831136,1207.373600678477,2016-02-22 12:00:00-05:00,1210.45,close,245.08505175813346,0.0,1214.98,1206.44,Uptrend,Downtrend
29,2016-02-23,long,2016-02-23 08:54:00-05:00,1220.43,1218.796114367199,1228.2132936547853,2016-02-23 08:55:00-05:00,1218.796114367199,sl,-100.0,-1.0,1225.54,1218.87,Uptrend,Uptrend
30,2016-02-23,short,2016-02-23 10:09:00-05:00,1223.64,1225.6299889117447,1214.1603474717379,2016-02-23 10:51:00-05:00,1225.6299889117447,sl,-100.0,-1.0,1225.54,1216.35,Uptrend,Downtrend
31,2016-02-24,short,2016-02-24 09:12:00-05:00,1245.15,1245.3385252653231,1244.2519276552182,2016-02-24 09:12:00-05:00,1245.3385252653231,sl,-100.0,-1.0,1245.33,1241.91,Downtrend,Uptrend
32,2016-02-25,long,2016-02-25 08:31:00-05:00,1233.4310124752778,1231.4085422572548,1243.0653952612647,2016-02-25 09:05:00-05:00,1231.4085422572548,sl,-100.0,-1.0,1238.79,1231.5,Uptrend,Downtrend
33,2016-02-26,short,2016-02-26 08:47:00-05:00,1230.39,1231.1231538095901,1226.8974964369568,2016-02-26 08:51:00-05:00,1226.8974964369568,tp,476.367102967975,4.76367102967975,1231.09,1227.06,Uptrend,Downtrend
34,2016-02-29,long,2016-02-29 10:22:00-05:00,1232.54,1232.1629494693536,1234.3361446895651,2016-02-29 10:54:00-05:00,1232.1629494693536,sl,-100.0,-1.0,1235.86,1232.18,Uptrend,Downtrend
35,2016-02-29,short,2016-02-29 11:27:00-05:00,1233.92,1234.1923142721334,1232.6227843908694,2016-02-29 11:29:00-05:00,1234.1923142721334,sl,-100.0,-1.0,1234.18,1231.14,Uptrend,Downtrend
