,day,side,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_dollars,rr,ote_high_used,ote_low_used,4h_trend,1h_trend
0,2013-01-02,short,2013-01-02 08:30:00-05:00,1689.58,1690.6580555231776,1687.0658192109831,2013-01-02 08:31:00-05:00,1690.6580555231776,sl,-100.0,-1.0,1690.11,1684.11,,
1,2013-01-03,long,2013-01-03 08:16:00-05:00,1677.57,1677.2038679355244,1678.4238727207985,2013-01-03 08:16:00-05:00,1677.2038679355244,sl,-100.0,-1.0,1680.17,1677.75,,Uptrend
2,2013-01-07,short,2013-01-07 08:52:00-05:00,1647.2625737804774,1649.576174946824,1641.8669225539713,2013-01-07 10:50:00-05:00,1649.576174946824,sl,-99.99999999999999,-0.9999999999999999,1648.4,1645.53,Uptrend,Downtrend
3,2013-01-07,long,2013-01-07 10:05:00-05:00,1645.260752419926,1640.1740543852063,1657.123665046842,2013-01-07 12:00:00-05:00,1645.6,close,6.669308414976872,0.0,1649.07,1642.76,Uptrend,Uptrend
4,2013-01-08,short,2013-01-08 09:04:00-05:00,1654.55,1658.7198374009706,1644.8253384575758,2013-01-08 10:20:00-05:00,1658.7198374009706,sl,-100.0,-1.0,1656.6,1650.29,Uptrend,Uptrend
5,2013-01-09,long,2013-01-09 09:16:00-05:00,1660.93,1657.5127673982288,1668.8994787274505,2013-01-09 09:45:00-05:00,1657.5127673982288,sl,-100.0,-1.0,1664.59,1659.25,Downtrend,Downtrend
6,2013-01-10,long,2013-01-10 09:04:00-05:00,1667.9,1667.269439222292,1669.370558574709,2013-01-10 09:08:00-05:00,1669.370558574709,tp,233.21440639776463,2.3321440639776463,1672.53,1667.59,Downtrend,Uptrend
7,2013-01-10,short,2013-01-10 11:03:00-05:00,1675.95,1676.7432861396967,1674.0999424382712,2013-01-10 11:05:00-05:00,1676.7432861396967,sl,-100.0,-1.0,1676.34,1674.77,Downtrend,Downtrend
8,2013-01-11,long,2013-01-11 08:44:00-05:00,1672.47,1671.9818239140327,1673.6084969610645,2013-01-11 08:45:00-05:00,1673.6084969610645,tp,233.21440639774607,2.3321440639774607,1676.7,1672.23,Downtrend,Downtrend
9,2013-01-14,short,2013-01-14 08:20:00-05:00,1673.21,1674.6541875876535,1669.8419464901847,2013-01-14 08:35:00-05:00,1674.6541875876535,sl,-99.99999999999999,-0.9999999999999999,1673.92,1670.73,Downtrend,Downtrend
10,2013-01-14,long,2013-01-14 11:27:00-05:00,1666.22,1661.6840305345538,1676.7985342632228,2013-01-14 12:00:00-05:00,1665.78,close,-9.700241665025642,0.0,1669.8,1663.99,Downtrend,Uptrend
11,2013-01-15,short,2013-01-15 09:05:00-05:00,1682.3,1685.9002986340088,1673.9035849121508,2013-01-15 12:00:00-05:00,1682.63,close,-9.16590631907414,0.0,1684.07,1679.35,Downtrend,Downtrend
12,2013-01-16,long,2013-01-16 09:33:00-05:00,1675.73,1671.2753932155483,1686.1187847697122,2013-01-16 12:00:00-05:00,1680.58,close,108.87605202165736,0.0,1679.9,1673.54,Uptrend,Uptrend
13,2013-01-17,long,2013-01-17 10:34:00-05:00,1686.71,1686.2014832437842,1687.895934334442,2013-01-17 10:35:00-05:00,1687.895934334442,tp,233.21440639777276,2.3321440639777276,1689.76,1686.46,Uptrend,Uptrend
14,2013-01-17,short,2013-01-17 11:31:00-05:00,1686.84,1688.7927043438692,1682.2860121557426,2013-01-17 11:37:00-05:00,1688.7927043438692,sl,-100.0,-1.0,1687.8,1685.24,Uptrend,Uptrend
15,2013-01-18,long,2013-01-18 09:05:00-05:00,1691.4305104763375,1690.2293725885827,1694.2317370712833,2013-01-18 09:25:00-05:00,1694.2317370712833,tp,233.21440639773772,2.332144063977377,1692.33,1690.84,Downtrend,Downtrend
16,2013-01-22,long,2013-01-22 08:59:00-05:00,1690.9409787924021,1687.216645207552,1699.626661254582,2013-01-22 09:20:00-05:00,1687.216645207552,sl,-100.0,-1.0,1693.73,1689.11,Uptrend,Downtrend
17,2013-01-23,short,2013-01-23 08:26:00-05:00,1693.81,1695.3355502686477,1690.252196996674,2013-01-23 10:02:00-05:00,1690.252196996674,tp,233.21440639773797,2.33214406397738,1694.56,1692.14,Downtrend,Downtrend
