,day,side,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_dollars,rr,ote_low_used,ote_high_used,4h_trend,1h_trend
0,2024-01-02,long,2024-01-02 08:51:00-05:00,2066.175,2064.270325114453,2072.952585470866,2024-01-02 09:42:00-05:00,2064.270325114453,sl,-100.0,-1.0,2064.795,2070.965,Uptrend,
1,2024-01-03,long,2024-01-03 08:22:00-05:00,2043.155,2041.1261071871347,2050.3746019146174,2024-01-03 08:45:00-05:00,2041.1261071871347,sl,-100.0,-1.0,2041.685,2048.205,Uptrend,Downtrend
2,2024-01-04,long,2024-01-04 08:21:00-05:00,2042.605,2041.721672516848,2045.7482280444585,2024-01-04 08:32:00-05:00,2041.721672516848,sl,-100.0,-1.0,2043.245,2047.098,Uptrend,Downtrend
3,2024-01-05,long,2024-01-05 09:15:00-05:00,2039.625,2038.2862067833476,2044.3889550048837,2024-01-05 09:17:00-05:00,2044.3889550048837,tp,355.83949377899955,3.5583949377899957,2038.655,2046.115,Uptrend,Uptrend
4,2024-01-10,long,2024-01-10 12:00:00-05:00,2026.845,2023.583589308299,2038.450387295402,2024-01-10 12:00:00-05:00,2026.845,close,0.0,0.0,2029.208,2033.475,Uptrend,Downtrend
5,2024-01-11,short,2024-01-11 08:03:00-05:00,2033.9753457500012,2035.299859770857,2029.2622017631568,2024-01-11 08:23:00-05:00,2035.299859770857,sl,-100.00000000000001,-1.0000000000000002,2031.598,2034.935,Downtrend,Downtrend
6,2024-01-11,long,2024-01-11 12:00:00-05:00,2016.675,2005.0675247917034,2057.9789810217217,2024-01-11 12:00:00-05:00,2016.825,close,1.2922706902951344,0.0,2025.085,2032.874,Uptrend,Uptrend
7,2024-01-12,short,2024-01-12 08:27:00-05:00,2048.555,2050.8185266755777,2040.5004781360717,2024-01-12 08:30:00-05:00,2050.8185266755777,sl,-100.0,-1.0,2044.258,2050.195,Downtrend,Downtrend
8,2024-01-17,short,2024-01-17 08:41:00-05:00,2024.845,2025.6593175235307,2021.9473366465147,2024-01-17 08:45:00-05:00,2021.9473366465147,tp,355.8394937790021,3.558394937790021,2018.845,2025.435,Downtrend,Downtrend
9,2024-01-18,long,2024-01-18 10:57:00-05:00,2013.135,2012.0032366622113,2017.162260931963,2024-01-18 11:28:00-05:00,2017.162260931963,tp,355.83949377893924,3.5583949377893926,2012.315,2015.575,Uptrend,Uptrend
10,2024-01-19,short,2024-01-19 10:27:00-05:00,2025.785,2026.5855155316067,2022.9364495847094,2024-01-19 10:54:00-05:00,2026.5855155316067,sl,-100.0,-1.0,2023.635,2026.365,Downtrend,Uptrend
11,2024-01-24,short,2024-01-24 08:27:00-05:00,2034.835,2035.8287434185463,2031.2988684499833,2024-01-24 08:29:00-05:00,2035.8287434185463,sl,-100.0,-1.0,2031.885,2035.555,Downtrend,Downtrend
12,2024-01-25,long,2024-01-25 08:51:00-05:00,2017.738,2016.0776203715125,2023.6462864648192,2024-01-25 09:13:00-05:00,2023.6462864648192,tp,355.83949377895806,3.5583949377895805,2016.535,2022.915,Uptrend,Uptrend
13,2024-01-31,short,2024-01-31 11:01:00-05:00,2053.425,2054.257260113032,2050.463489826863,2024-01-31 11:04:00-05:00,2050.463489826863,tp,355.8394937790595,3.5583949377905952,2051.465,2054.028,Downtrend,Downtrend
14,2024-02-02,short,2024-02-02 09:20:00-05:00,2031.665,2032.7829613458644,2027.6868520062317,2024-02-02 09:45:00-05:00,2032.7829613458644,sl,-100.0,-1.0,2027.635,2032.475,Downtrend,Uptrend
15,2024-02-05,long,2024-02-05 10:01:00-05:00,2017.325,2013.8924446084384,2029.539387729016,2024-02-05 12:00:00-05:00,2022.785,close,159.06516799182586,0.0,2014.838,2023.558,Uptrend,Uptrend
16,2024-02-06,short,2024-02-06 08:00:00-05:00,2027.725,2028.056247806182,2026.5462894833277,2024-02-06 08:04:00-05:00,2028.056247806182,sl,-100.0,-1.0,2024.405,2027.485,Downtrend,Uptrend
17,2024-02-07,short,2024-02-07 09:39:00-05:00,2036.605,2037.7505653297128,2032.5286261298425,2024-02-07 09:40:00-05:00,2037.7505653297128,sl,-100.00000000000001,-1.0000000000000002,2032.575,2037.435,Downtrend,Downtrend
18,2024-02-08,long,2024-02-08 08:31:00-05:00,2022.445,2021.589276500696,2025.4900021680703,2024-02-08 08:33:00-05:00,2025.4900021680703,tp,355.8394937789541,3.558394937789541,2023.065,2026.345,Uptrend,Downtrend
19,2024-02-09,long,2024-02-09 08:42:00-05:00,2027.695,2024.630957792816,2038.5980722792178,2024-02-09 09:24:00-05:00,2024.630957792816,sl,-100.0,-1.0,2025.475,2037.058,Uptrend,Downtrend
20,2024-02-13,short,2024-02-13 09:26:00-05:00,2004.17416056563,2006.4802518036197,1995.9681771782862,2024-02-13 09:32:00-05:00,1995.9681771782862,tp,355.8394937789788,3.558394937789788,2000.035,2005.845,Downtrend,Downtrend
21,2024-02-14,long,2024-02-14 11:48:00-05:00,1990.105,1989.8703661372876,1990.9399199493098,2024-02-14 11:49:00-05:00,1990.9399199493098,tp,355.8394937789839,3.5583949377898394,1989.935,1993.408,Uptrend,Uptrend
22,2024-02-15,short,2024-02-15 08:40:00-05:00,2001.955,2004.8672202960174,1991.592170040923,2024-02-15 09:30:00-05:00,2004.8672202960174,sl,-100.0,-1.0,1995.585,2004.065,Downtrend,Uptrend
23,2024-02-19,long,2024-02-19 08:50:00-05:00,2016.625,2015.6312565814537,2020.1611315500168,2024-02-19 10:45:00-05:00,2015.6312565814537,sl,-100.0,-1.0,2015.905,2019.158,Uptrend,Downtrend
24,2024-02-21,short,2024-02-21 08:44:00-05:00,2030.685,2031.775357362016,2026.805077882621,2024-02-21 10:01:00-05:00,2026.805077882621,tp,355.83949377893043,3.5583949377893043,2027.575,2031.475,Downtrend,Downtrend
25,2024-02-23,short,2024-02-23 12:00:00-05:00,2039.008,2052.648508618739,1990.4696831822032,2024-02-23 12:00:00-05:00,2039.008,close,0.0,0.0,2024.065,2029.125,Downtrend,Uptrend
26,2024-02-29,short,2024-02-29 09:43:00-05:00,2049.215,2049.7118717092735,2047.4469342249913,2024-02-29 09:44:00-05:00,2049.7118717092735,sl,-100.0,-1.0,2045.805,2048.855,Downtrend,Uptrend
27,2024-03-04,long,2024-03-04 07:32:00-05:00,2082.105,2081.621930282651,2083.823952836813,2024-03-04 08:03:00-05:00,2081.621930282651,sl,-100.0,-1.0,2081.755,2083.345,Uptrend,Downtrend
28,2024-03-05,short,2024-03-05 10:01:00-05:00,2137.585,2143.3307692380663,2117.139283829557,2024-03-05 12:00:00-05:00,2127.705,close,171.95260705118793,0.0,2122.265,2141.748,Downtrend,Downtrend
29,2024-03-07,short,2024-03-07 09:56:00-05:00,2155.435,2158.53078678861,2144.418967962935,2024-03-07 12:00:00-05:00,2156.785,close,-43.60765427925552,0.0,2147.825,2157.678,Downtrend,Uptrend
30,2024-03-08,short,2024-03-08 10:33:00-05:00,2172.308,2173.5322366836813,2167.9516823821314,2024-03-08 10:34:00-05:00,2173.5322366836813,sl,-100.00000000000001,-1.0000000000000002,2167.795,2173.195,Downtrend,Downtrend
31,2024-03-12,short,2024-03-12 09:50:00-04:00,2164.145,2169.0171031492614,2146.808132817279,2024-03-12 12:00:00-04:00,2165.345,close,-24.6300204087783,0.0,2152.545,2167.675,Downtrend,Uptrend
32,2024-03-13,short,2024-03-13 09:00:00-04:00,2166.798,2170.749510287913,2152.7369657948652,2024-03-13 10:06:00-04:00,2170.749510287913,sl,-100.0,-1.0,2162.048,2163.935,Downtrend,Uptrend
33,2024-03-20,long,2024-03-20 08:30:00-04:00,2150.928,2148.922570573406,2158.064109919686,2024-03-20 08:59:00-04:00,2158.064109919686,tp,355.83949377898625,3.5583949377898625,2149.475,2155.815,Uptrend,Uptrend
34,2024-03-25,short,2024-03-25 08:32:00-04:00,2175.995,2176.0502079676967,2175.7985482472213,2024-03-25 08:32:00-04:00,2176.0502079676967,sl,-100.0,-1.0,2172.925,2175.955,Downtrend,Downtrend
35,2024-03-28,short,2024-03-28 09:41:00-04:00,2211.925,2214.3306871923974,2203.364614872669,2024-03-28 09:57:00-04:00,2214.3306871923974,sl,-100.0,-1.0,2202.094,2213.668,Downtrend,Uptrend
36,2024-04-01,long,2024-04-01 09:46:00-04:00,2247.305,2242.074045060708,2265.918803575781,2024-04-01 09:49:00-04:00,2242.074045060708,sl,-100.0,-1.0,2243.515,2257.758,Uptrend,Downtrend
37,2024-04-03,long,2024-04-03 10:10:00-04:00,2276.246814856904,2272.821415995656,2288.4357368246806,2024-04-03 12:00:00-04:00,2285.845,close,280.20635061454607,0.0,2273.765,2282.395,Uptrend,Uptrend
38,2024-04-04,short,2024-04-04 11:21:00-04:00,2294.575,2295.7523099111386,2290.385666371994,2024-04-04 11:47:00-04:00,2290.385666371994,tp,355.83949377897676,3.5583949377897675,2291.875,2295.428,Downtrend,Downtrend
39,2024-04-10,long,2024-04-10 09:00:00-04:00,2335.655,2320.43140290755,2389.826570828725,2024-04-10 09:31:00-04:00,2320.43140290755,sl,-100.0,-1.0,2346.685,2349.295,Uptrend,Uptrend
40,2024-04-12,long,2024-04-12 08:47:00-04:00,2393.065,2390.925691251741,2400.6775054201753,2024-04-12 09:42:00-04:00,2400.6775054201753,tp,355.8394937789789,3.558394937789789,2391.515,2397.435,Uptrend,Uptrend
41,2024-04-16,short,2024-04-16 08:31:00-04:00,2373.515,2375.906885200473,2365.003727810862,2024-04-16 08:44:00-04:00,2375.906885200473,sl,-100.0,-1.0,2368.385,2375.248,Downtrend,Uptrend
42,2024-04-19,long,2024-04-19 09:15:00-04:00,2375.435,2374.054800807575,2380.3462938194675,2024-04-19 09:16:00-04:00,2374.054800807575,sl,-100.0,-1.0,2374.435,2384.294,Uptrend,Uptrend
43,2024-04-25,short,2024-04-25 09:00:00-04:00,2330.615,2331.2084856527426,2328.5031436576296,2024-04-25 09:02:00-04:00,2328.5031436576296,tp,355.8394937788315,3.5583949377883153,2326.548,2330.185,Downtrend,Uptrend
44,2024-05-07,long,2024-05-07 09:32:00-04:00,2316.614,2316.5643128290726,2316.7908065775014,2024-05-07 09:32:00-04:00,2316.7908065775014,tp,355.8394937791496,3.5583949377914963,2316.578,2323.528,Uptrend,Downtrend
45,2024-05-13,long,2024-05-13 09:38:00-04:00,2343.695,2341.9835530013925,2349.785004336141,2024-05-13 09:47:00-04:00,2341.9835530013925,sl,-100.0,-1.0,2342.455,2349.678,Uptrend,Downtrend
46,2024-05-16,long,2024-05-16 10:09:00-04:00,2374.855,2372.64668129212,2382.7130701111473,2024-05-16 10:26:00-04:00,2372.64668129212,sl,-100.0,-1.0,2373.255,2378.928,Uptrend,Uptrend
47,2024-05-21,short,2024-05-21 09:07:00-04:00,2425.525,2427.8437346432743,2417.2740263832957,2024-05-21 09:11:00-04:00,2427.8437346432743,sl,-99.99999999999999,-0.9999999999999999,2420.325,2427.205,Downtrend,Uptrend
48,2024-05-23,short,2024-05-23 08:02:00-04:00,2368.22593477832,2369.7290617177814,2362.8772154860867,2024-05-23 08:38:00-04:00,2362.8772154860867,tp,355.8394937789171,3.5583949377891706,2365.528,2369.315,Downtrend,Uptrend
49,2024-05-24,long,2024-05-24 09:18:00-04:00,2340.608,2339.803343870816,2343.47128429675,2024-05-24 09:27:00-04:00,2343.47128429675,tp,355.8394937790031,3.558394937790031,2340.025,2344.025,Uptrend,Downtrend
50,2024-05-28,short,2024-05-28 11:24:00-04:00,2359.324832417596,2365.7429899594717,2336.4864931106486,2024-05-28 12:00:00-04:00,2360.145,close,-12.778863358411689,0.0,2347.805,2363.975,Downtrend,Downtrend
51,2024-05-31,short,2024-05-31 10:27:00-04:00,2342.395,2344.575714724032,2334.635155765242,2024-05-31 10:58:00-04:00,2334.635155765242,tp,355.83949377893043,3.5583949377893043,2337.375,2343.975,Downtrend,Downtrend
52,2024-06-04,long,2024-06-04 09:41:00-04:00,2328.145,2325.016088430772,2339.278903088732,2024-06-04 09:57:00-04:00,2325.016088430772,sl,-100.0,-1.0,2325.878,2337.925,Uptrend,Downtrend
