,day,side,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_dollars,rr,ote_high_used,ote_low_used,4h_trend,1h_trend
0,2021-01-04,short,2021-01-04 09:06:00-05:00,1940.418,1941.2650219201928,1936.3041788763971,2021-01-04 09:23:00-05:00,1941.2650219201928,sl,-100.0,-1.0,1941.253,1938.428,,
1,2021-01-05,short,2021-01-05 08:00:00-05:00,1949.155,1950.483860737069,1942.7009812312344,2021-01-05 08:20:00-05:00,1950.483860737069,sl,-100.0,-1.0,1950.465,1945.398,,Downtrend
2,2021-01-07,long,2021-01-07 10:21:00-05:00,1912.1943329158069,1908.4955018882506,1930.1588375538115,2021-01-07 12:00:00-05:00,1913.485,close,34.89391849959055,0.0,1918.078,1908.548,Downtrend,Uptrend
3,2021-01-08,long,2021-01-08 09:36:00-05:00,1881.715,1876.1084249665792,1908.9450471259295,2021-01-08 09:42:00-05:00,1876.1084249665792,sl,-100.00000000000001,-1.0000000000000002,1892.628,1876.188,Downtrend,Downtrend
4,2021-01-12,long,2021-01-12 09:49:00-05:00,1839.525,1836.5152825901646,1854.1426135014726,2021-01-12 12:00:00-05:00,1842.678,close,104.76066589163095,0.0,1848.048,1836.558,Uptrend,Uptrend
5,2021-01-13,short,2021-01-13 09:48:00-05:00,1858.095,1861.1381925276394,1843.3148043463377,2021-01-13 12:00:00-05:00,1857.395,close,23.002159529586066,0.0,1861.095,1851.798,Downtrend,Downtrend
6,2021-01-14,short,2021-01-14 10:54:00-05:00,1847.8992919405987,1852.1077310625078,1827.4597196646398,2021-01-14 12:00:00-05:00,1848.225,close,-7.739402898941486,0.0,1852.048,1841.205,Uptrend,Uptrend
7,2021-01-15,long,2021-01-15 08:01:00-05:00,1846.508,1845.8222672837721,1849.8384707539583,2021-01-15 08:35:00-05:00,1849.8384707539583,tp,485.68059757723,4.8568059757723,1849.538,1845.832,Downtrend,Downtrend
8,2021-01-19,long,2021-01-19 09:40:00-05:00,1836.8382789409084,1832.7854779346394,1856.5219470867687,2021-01-19 12:00:00-05:00,1841.027,close,103.35373122471269,0.0,1843.285,1832.843,Uptrend,Uptrend
9,2021-01-20,long,2021-01-20 09:56:00-05:00,1854.753,1853.4474704056427,1861.0937039354212,2021-01-20 10:14:00-05:00,1861.0937039354212,tp,485.68059757717833,4.856805975771783,1864.715,1853.466,Uptrend,Uptrend
10,2021-01-20,short,2021-01-20 11:45:00-05:00,1868.255,1870.315241341212,1858.248807542471,2021-01-20 12:00:00-05:00,1867.125,close,54.847943170358604,0.0,1870.286,1862.758,Uptrend,Downtrend
11,2021-01-21,long,2021-01-21 08:31:00-05:00,1867.185,1866.3227621171688,1871.3727221018705,2021-01-21 08:47:00-05:00,1866.3227621171688,sl,-100.0,-1.0,1870.535,1866.335,Uptrend,Uptrend
12,2021-01-22,long,2021-01-22 09:33:00-05:00,1839.265,1837.1651971559288,1849.4633350010279,2021-01-22 09:46:00-05:00,1849.4633350010279,tp,485.6805975771658,4.856805975771659,1844.825,1837.195,Uptrend,Uptrend
13,2021-01-25,short,2021-01-25 09:38:00-05:00,1864.485,1865.8544366374379,1857.8339119558511,2021-01-25 09:47:00-05:00,1857.8339119558511,tp,485.68059757712564,4.856805975771256,1865.835,1860.115,Uptrend,Downtrend
14,2021-01-26,short,2021-01-26 09:52:00-05:00,1857.495,1859.9194100470195,1845.7201107959152,2021-01-26 12:00:00-05:00,1852.695,close,197.98631035623512,0.0,1859.885,1849.845,Uptrend,Downtrend
15,2021-01-27,long,2021-01-27 08:37:00-05:00,1839.525,1837.6585085830477,1848.5901866675804,2021-01-27 09:35:00-05:00,1837.6585085830477,sl,-100.0,-1.0,1843.945,1837.685,Uptrend,Downtrend
16,2021-01-28,short,2021-01-28 10:16:00-05:00,1859.945,1863.181942451899,1844.2237985563877,2021-01-28 10:21:00-05:00,1863.181942451899,sl,-100.0,-1.0,1863.136,1852.616,Downtrend,Downtrend
17,2021-01-29,short,2021-01-29 09:58:00-05:00,1866.778,1875.6478918205596,1823.6986564014594,2021-01-29 12:00:00-05:00,1857.432,close,105.36768868293119,0.0,1875.522,1852.485,Downtrend,Downtrend
18,2021-02-02,long,2021-02-02 09:32:00-05:00,1836.248,1834.110664448088,1846.6286240807553,2021-02-02 09:36:00-05:00,1834.110664448088,sl,-100.0,-1.0,1840.557,1834.141,Uptrend,Uptrend
19,2021-02-03,short,2021-02-03 08:13:00-05:00,1838.622,1839.2752719959333,1835.4491846663473,2021-02-03 08:14:00-05:00,1839.2752719959333,sl,-100.00000000000001,-1.0000000000000002,1839.266,1836.635,Downtrend,Downtrend
20,2021-02-04,long,2021-02-04 10:22:00-05:00,1788.852,1784.830928273479,1808.3815651903733,2021-02-04 12:00:00-05:00,1791.518,close,66.30073227533511,0.0,1795.445,1784.888,Uptrend,Uptrend
21,2021-02-05,long,2021-02-05 09:00:00-05:00,1798.005,1793.2576196568825,1821.0621052197137,2021-02-05 12:00:00-05:00,1814.175,close,340.60890072652313,0.0,1806.553,1793.325,Uptrend,Uptrend
22,2021-02-08,short,2021-02-08 10:00:00-05:00,1833.553,1834.9173646498916,1826.926545615276,2021-02-08 10:02:00-05:00,1834.9173646498916,sl,-100.0,-1.0,1834.898,1830.381,Uptrend,Downtrend
23,2021-02-09,long,2021-02-09 10:58:00-05:00,1839.235,1836.4859827500325,1852.5864434071405,2021-02-09 11:47:00-05:00,1836.4859827500325,sl,-100.0,-1.0,1845.672,1836.525,Uptrend,Downtrend
24,2021-02-10,long,2021-02-10 09:32:00-05:00,1843.009,1835.9599517084778,1877.2448598657668,2021-02-10 10:44:00-05:00,1835.9599517084778,sl,-100.0,-1.0,1846.896,1849.958,Downtrend,Downtrend
25,2021-02-11,short,2021-02-11 09:16:00-05:00,1843.275,1844.479089843436,1837.426969253035,2021-02-11 10:33:00-05:00,1837.426969253035,tp,485.6805975771438,4.856805975771438,1844.462,1840.425,Downtrend,Downtrend
26,2021-02-11,long,2021-02-11 10:55:00-05:00,1839.1841655885103,1837.3793844470476,1847.9496374213254,2021-02-11 11:03:00-05:00,1837.3793844470476,sl,-100.0,-1.0,1842.055,1837.405,Downtrend,Downtrend
27,2021-02-12,long,2021-02-12 09:36:00-05:00,1813.115,1810.3558387749401,1826.5157107259872,2021-02-12 10:51:00-05:00,1826.5157107259872,tp,485.680597577129,4.85680597577129,1818.459,1810.395,Downtrend,Uptrend
28,2021-02-16,long,2021-02-16 11:51:00-05:00,1798.645,1789.8227848623735,1841.4927871999664,2021-02-16 12:00:00-05:00,1796.375,close,-25.73049925203595,0.0,1814.035,1789.948,Downtrend,Uptrend
29,2021-02-17,short,2021-02-17 08:36:00-05:00,1778.005,1779.942499242597,1768.5949421005025,2021-02-17 08:54:00-05:00,1779.942499242597,sl,-100.0,-1.0,1779.915,1774.375,Uptrend,Downtrend
