,day,side,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_dollars,rr,ote_high_used,ote_low_used,4h_trend,1h_trend
0,2017-01-06,short,2017-01-06 09:11:00-05:00,1175.22,1175.3506788630718,1174.0573532739202,2017-01-06 09:12:00-05:00,1174.0573532739202,tp,889.6976134855009,8.89697613485501,1175.46,1171.6,Downtrend,Downtrend
1,2017-01-10,short,2017-01-10 10:46:00-05:00,1188.38,1189.0116145048476,1182.7605408239483,2017-01-10 10:51:00-05:00,1189.0116145048476,sl,-100.0,-1.0,1189.54,1186.57,Downtrend,Downtrend
2,2017-01-11,long,2017-01-11 11:23:00-05:00,1178.8097153763701,1178.058466889925,1185.4935552316147,2017-01-11 11:28:00-05:00,1185.4935552316147,tp,889.6976134850455,8.896976134850455,1180.88,1177.43,Uptrend,Uptrend
3,2017-01-18,short,2017-01-18 10:25:00-05:00,1215.16,1215.317903626212,1213.7551352059872,2017-01-18 10:29:00-05:00,1215.317903626212,sl,-100.0,-1.0,1215.45,1213.45,Downtrend,Downtrend
4,2017-01-19,long,2017-01-19 10:56:00-05:00,1198.21,1197.5892754004085,1203.7325719488797,2017-01-19 12:00:00-05:00,1200.0,close,288.3726536982505,0.0,1200.54,1197.07,Uptrend,Uptrend
5,2017-01-25,long,2017-01-25 10:44:00-05:00,1197.26,1196.7645093108524,1201.6683688363864,2017-01-25 10:50:00-05:00,1196.7645093108524,sl,-100.0,-1.0,1199.26,1196.35,Uptrend,Uptrend
6,2017-01-26,long,2017-01-26 10:11:00-05:00,1187.48,1186.3964544270289,1197.1202791037454,2017-01-26 10:31:00-05:00,1186.3964544270289,sl,-100.0,-1.0,1190.78,1185.49,Uptrend,Uptrend
7,2017-01-27,long,2017-01-27 08:37:00-05:00,1183.8796122518665,1182.8561722848253,1192.9851332140838,2017-01-27 08:42:00-05:00,1182.8561722848253,sl,-100.0,-1.0,1186.7,1182.0,Uptrend,Uptrend
8,2017-01-31,short,2017-01-31 10:00:00-05:00,1213.39,1217.032673308129,1180.9812225105247,2017-01-31 12:00:00-05:00,1212.86,close,14.549753852959151,0.0,1206.7,1203.12,Downtrend,Downtrend
9,2017-02-01,long,2017-02-01 10:01:00-05:00,1203.29,1202.8925184581562,1206.8263837918262,2017-02-01 10:03:00-05:00,1202.8925184581562,sl,-100.0,-1.0,1205.93,1202.56,Uptrend,Uptrend
10,2017-02-02,short,2017-02-02 09:33:00-05:00,1223.15,1224.293440051879,1212.9768411468021,2017-02-02 12:00:00-05:00,1218.12,close,439.90063070945257,0.0,1225.25,1219.93,Downtrend,Downtrend
11,2017-02-03,long,2017-02-03 08:53:00-05:00,1214.01,1213.797646847508,1215.8993009298802,2017-02-03 08:54:00-05:00,1213.797646847508,sl,-100.0,-1.0,1216.77,1213.62,Uptrend,Uptrend
12,2017-02-07,short,2017-02-07 07:56:00-05:00,1230.95,1231.2331375366557,1228.4309320934938,2017-02-07 08:28:00-05:00,1228.4309320934938,tp,889.697613485236,8.89697613485236,1231.47,1230.01,Downtrend,Downtrend
13,2017-02-08,short,2017-02-08 09:04:00-05:00,1239.45,1240.0598346943354,1234.0243152782948,2017-02-08 09:08:00-05:00,1240.0598346943354,sl,-100.0,-1.0,1240.57,1237.69,Downtrend,Downtrend
14,2017-02-09,short,2017-02-09 10:15:00-05:00,1236.5,1237.0118255470315,1231.9463003228539,2017-02-09 10:31:00-05:00,1231.9463003228539,tp,889.6976134849815,8.896976134849815,1237.44,1234.23,Downtrend,Downtrend
15,2017-02-16,short,2017-02-16 11:00:00-05:00,1240.67,1241.5520823257355,1232.8221345989607,2017-02-16 11:07:00-05:00,1241.5520823257355,sl,-100.0,-1.0,1239.05,1236.31,Downtrend,Downtrend
16,2017-02-17,short,2017-02-17 09:01:00-05:00,1242.2641641742098,1242.6974930113188,1238.40884785191,2017-02-17 09:54:00-05:00,1242.6974930113188,sl,-100.0,-1.0,1243.06,1241.07,Downtrend,Downtrend
17,2017-02-20,short,2017-02-20 09:01:00-05:00,1238.66,1238.790678863072,1237.4973532739202,2017-02-20 09:30:00-05:00,1237.4973532739202,tp,889.6976134855009,8.89697613485501,1238.9,1237.43,Downtrend,Downtrend
18,2017-02-21,long,2017-02-21 10:27:00-05:00,1233.1658028259492,1232.6453727150495,1237.796057102481,2017-02-21 12:00:00-05:00,1236.92,close,721.3643283553669,0.0,1234.6,1232.21,Uptrend,Uptrend
19,2017-02-22,short,2017-02-22 09:33:00-05:00,1238.340404248054,1239.4073948519906,1228.8474143087212,2017-02-22 12:00:00-05:00,1232.33,close,563.3043276931594,0.0,1240.3,1235.4,Downtrend,Downtrend
20,2017-02-23,short,2017-02-23 11:00:00-05:00,1250.49,1251.2141786995232,1244.0469993929746,2017-02-23 12:00:00-05:00,1249.49,close,138.08746386193786,0.0,1249.16,1245.99,Downtrend,Downtrend
21,2017-03-01,long,2017-03-01 09:00:00-05:00,1237.23,1235.1663629539898,1255.5901295493438,2017-03-01 12:00:00-05:00,1245.02,close,377.48886196151216,0.0,1242.86,1241.02,Uptrend,Uptrend
22,2017-03-03,short,2017-03-03 09:14:00-05:00,1228.51,1228.8366971576797,1225.6033831848008,2017-03-03 09:17:00-05:00,1228.8366971576797,sl,-100.0,-1.0,1229.11,1227.5,Downtrend,Downtrend
23,2017-03-09,short,2017-03-09 08:39:00-05:00,1207.04,1207.3176925840278,1204.5693757070803,2017-03-09 09:03:00-05:00,1207.3176925840278,sl,-100.0,-1.0,1207.55,1205.75,Downtrend,Downtrend
24,2017-03-14,short,2017-03-14 10:08:00-04:00,1205.23,1206.1719768046432,1196.8492548495078,2017-03-14 10:20:00-04:00,1206.1719768046432,sl,-100.0,-1.0,1206.96,1201.75,Downtrend,Downtrend
25,2017-03-15,long,2017-03-15 10:00:00-04:00,1199.76,1198.9704818689406,1206.7843239700658,2017-03-15 10:04:00-04:00,1198.9704818689406,sl,-100.0,-1.0,1202.64,1201.21,Uptrend,Uptrend
26,2017-03-16,short,2017-03-16 09:19:00-04:00,1231.6,1232.2533943153594,1225.7867663696006,2017-03-16 12:00:00-04:00,1228.56,close,465.26269490535464,0.0,1232.8,1229.76,Downtrend,Downtrend
27,2017-03-17,short,2017-03-17 10:00:00-04:00,1230.71,1230.720889905256,1230.6131127728268,2017-03-17 10:00:00-04:00,1230.720889905256,sl,-100.00000000000001,-1.0000000000000002,1230.69,1228.09,Downtrend,Downtrend
28,2017-03-22,long,2017-03-22 08:00:00-04:00,1245.02,1244.7749771317401,1247.1999626113998,2017-03-22 08:18:00-04:00,1244.7749771317401,sl,-100.0,-1.0,1245.72,1244.57,Uptrend,Uptrend
29,2017-03-27,long,2017-03-27 11:27:00-04:00,1254.91,1254.7629862790443,1256.2179775668399,2017-03-27 11:28:00-04:00,1254.7629862790443,sl,-100.0,-1.0,1256.29,1254.64,Uptrend,Uptrend
30,2017-03-28,short,2017-03-28 09:46:00-04:00,1257.22,1257.4976925840278,1254.7493757070804,2017-03-28 09:47:00-04:00,1257.4976925840278,sl,-100.0,-1.0,1257.73,1255.72,Downtrend,Downtrend
31,2017-03-31,short,2017-03-31 12:00:00-04:00,1246.77,1247.0640274419118,1244.1540448663206,2017-03-31 12:00:00-04:00,1246.65,close,40.81251709692115,0.0,1247.31,1245.37,Downtrend,Downtrend
32,2017-04-03,long,2017-04-03 07:44:00-04:00,1245.13,1244.982986279044,1246.437977566841,2017-04-03 08:00:00-04:00,1246.437977566841,tp,889.6976134848595,8.896976134848595,1246.33,1244.86,Uptrend,Uptrend
33,2017-04-04,short,2017-04-04 08:38:00-04:00,1259.82,1260.5169539363833,1253.6192174609077,2017-04-04 12:00:00-04:00,1255.14,close,671.4934453610222,0.0,1261.1,1257.72,Downtrend,Downtrend
34,2017-04-07,short,2017-04-07 10:59:00-04:00,1266.2861905740826,1266.7892004302241,1261.810923888397,2017-04-07 12:00:00-04:00,1266.08,close,40.99135863149235,0.0,1267.21,1264.9,Downtrend,Downtrend
35,2017-04-10,long,2017-04-10 09:31:00-04:00,1249.75,1249.679215615836,1250.379766976627,2017-04-10 09:31:00-04:00,1249.679215615836,sl,-100.0,-1.0,1250.74,1249.62,Uptrend,Uptrend
36,2017-04-12,long,2017-04-12 11:13:00-04:00,1274.87,1274.3472845477124,1279.5205869043182,2017-04-12 11:58:00-04:00,1274.3472845477124,sl,-99.99999999999999,-0.9999999999999999,1276.96,1273.91,Uptrend,Uptrend
37,2017-04-18,long,2017-04-18 11:11:00-04:00,1286.84,1286.6929862790441,1288.1479775668397,2017-04-18 11:11:00-04:00,1286.6929862790441,sl,-100.0,-1.0,1289.71,1286.57,Uptrend,Uptrend
38,2017-04-24,long,2017-04-24 10:00:00-04:00,1269.39,1268.6222616794528,1276.2205495157195,2017-04-24 12:00:00-04:00,1274.9,close,717.6924549072778,0.0,1271.51,1267.98,Uptrend,Uptrend
39,2017-04-26,long,2017-04-26 10:59:00-04:00,1263.16,1262.6917340739924,1267.3261507684533,2017-04-26 11:23:00-04:00,1262.6917340739924,sl,-100.0,-1.0,1264.51,1262.3,Uptrend,Uptrend
40,2017-04-27,long,2017-04-27 08:31:00-04:00,1263.56,1263.2006331265522,1266.7572784967188,2017-04-27 08:37:00-04:00,1263.2006331265522,sl,-100.00000000000001,-1.0000000000000002,1264.59,1262.9,Uptrend,Uptrend
41,2017-04-28,long,2017-04-28 10:13:00-04:00,1265.22,1264.7081744529685,1269.7736996771462,2017-04-28 12:00:00-04:00,1266.95,close,338.0057931913627,0.0,1267.26,1264.28,Uptrend,Uptrend
42,2017-05-01,short,2017-05-01 10:00:00-04:00,1266.75,1267.6266373731073,1258.9505782125484,2017-05-01 10:10:00-04:00,1267.6266373731073,sl,-100.0,-1.0,1265.14,1262.18,Downtrend,Downtrend
43,2017-05-04,long,2017-05-04 11:36:00-04:00,1227.96,1226.6967709903051,1239.1989183521048,2017-05-04 12:00:00-04:00,1228.07,close,8.70784308749115,0.0,1232.03,1225.64,Uptrend,Uptrend
44,2017-05-11,short,2017-05-11 10:00:00-04:00,1223.54,1224.492866709899,1215.0623676223345,2017-05-11 10:03:00-04:00,1224.492866709899,sl,-100.0,-1.0,1221.79,1220.4,Downtrend,Downtrend
45,2017-05-12,short,2017-05-12 09:38:00-04:00,1230.63,1231.0274815418436,1227.093616208175,2017-05-12 12:00:00-04:00,1229.47,close,291.8374510222758,0.0,1231.36,1229.18,Downtrend,Downtrend
46,2017-05-23,short,2017-05-23 10:24:00-04:00,1259.91,1260.0733485788398,1258.4566915924006,2017-05-23 10:25:00-04:00,1260.0733485788398,sl,-100.0,-1.0,1260.21,1258.05,Downtrend,Downtrend
