rank,net_profit,win_rate_percent,total_trades,pivot,sl_mult,tp_mult,ote,tf_filter
1,66198.17887440705,64.60176991150442,226,9,2.948730185844368,4.999875265370346,0.7825950217909176,none
2,66195.08523232875,64.60176991150442,226,9,2.9510323375446217,4.999663372077313,0.7815823568055189,none
3,66176.90473477606,64.60176991150442,226,9,2.9553321001653186,4.998418132518907,0.7810585276278275,none
