,day,side,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_dollars,rr,ote_high_used,ote_low_used,4h_trend,1h_trend
0,2011-01-03,short,2011-01-03 09:00:00-05:00,1419.93,1420.7825793906566,1415.767096084652,2011-01-03 09:30:00-05:00,1420.7825793906566,sl,-100.0,-1.0,1420.78,1417.08,,
1,2011-01-03,long,2011-01-03 09:33:00-05:00,1419.1103788157484,1417.9765697781697,1424.6464475191674,2011-01-03 10:34:00-05:00,1417.9765697781697,sl,-100.0,-1.0,1420.83,1417.98,,
2,2011-01-04,long,2011-01-04 09:34:00-05:00,1395.18,1394.2772688804812,1399.587780616252,2011-01-04 09:38:00-05:00,1394.2772688804812,sl,-100.0,-1.0,1396.9,1394.28,,Downtrend
3,2011-01-05,long,2011-01-05 09:04:00-05:00,1375.05,1374.0770564600741,1379.8006079975157,2011-01-05 09:08:00-05:00,1374.0770564600741,sl,-100.0,-1.0,1377.8,1374.08,Uptrend,Uptrend
4,2011-01-06,long,2011-01-06 09:35:00-05:00,1370.78,1367.9213514548576,1384.7379719514627,2011-01-06 09:42:00-05:00,1367.9213514548576,sl,-100.00000000000001,-1.0000000000000002,1375.78,1367.93,Uptrend,Downtrend
5,2011-01-07,long,2011-01-07 08:48:00-05:00,1361.7,1359.5735666962448,1372.082772118282,2011-01-07 10:07:00-05:00,1372.082772118282,tp,488.27170360557807,4.882717036055781,1367.4,1359.58,Uptrend,Uptrend
6,2011-01-10,long,2011-01-10 09:36:00-05:00,1369.2513052399513,1365.8697695138399,1385.762387337867,2011-01-10 09:42:00-05:00,1365.8697695138399,sl,-100.0,-1.0,1374.38,1365.88,Uptrend,Downtrend
7,2011-01-12,long,2011-01-12 07:26:00-05:00,1381.7939234625778,1381.077833544107,1385.2903879068424,2011-01-12 07:28:00-05:00,1381.077833544107,sl,-99.99999999999999,-0.9999999999999999,1382.88,1381.08,Uptrend,Downtrend
8,2011-01-14,long,2011-01-14 09:48:00-05:00,1362.45,1360.8752357137287,1370.1391284083497,2011-01-14 10:55:00-05:00,1360.8752357137287,sl,-100.0,-1.0,1366.28,1360.88,Uptrend,Downtrend
9,2011-01-18,short,2011-01-18 09:37:00-05:00,1371.5399595439364,1373.65640308075,1361.2059646308876,2011-01-18 12:00:00-05:00,1370.23,close,61.89437710720718,0.0,1373.65,1368.33,Downtrend,Downtrend
10,2011-01-19,short,2011-01-19 10:15:00-05:00,1372.28,1372.98212420407,1368.8517261873596,2011-01-19 10:22:00-05:00,1368.8517261873596,tp,488.27170360562656,4.882717036056266,1372.98,1369.35,Downtrend,Uptrend
11,2011-01-19,long,2011-01-19 11:53:00-05:00,1370.7,1368.8243253405556,1379.8583886137676,2011-01-19 12:00:00-05:00,1370.35,close,-18.659952472983523,0.0,1373.63,1368.83,Downtrend,Uptrend
12,2011-01-20,long,2011-01-20 07:40:00-05:00,1361.13,1360.6284827113786,1363.5787670090288,2011-01-20 07:41:00-05:00,1360.6284827113786,sl,-100.0,-1.0,1363.73,1361.63,Downtrend,Uptrend
13,2011-01-21,long,2011-01-21 10:18:00-05:00,1339.38,1337.6949019102317,1347.6078571503367,2011-01-21 12:00:00-05:00,1343.53,close,246.2764645689082,0.0,1344.78,1337.7,Uptrend,Downtrend
14,2011-01-24,long,2011-01-24 09:57:00-05:00,1343.58,1342.225903320722,1350.1916709243767,2011-01-24 09:58:00-05:00,1342.225903320722,sl,-100.0,-1.0,1345.83,1342.23,Downtrend,Downtrend
15,2011-01-26,long,2011-01-26 08:31:00-05:00,1332.38,1331.3468743854396,1337.4244600386,2011-01-26 08:36:00-05:00,1331.3468743854396,sl,-100.0,-1.0,1334.5,1331.35,Uptrend,Downtrend
16,2011-01-27,long,2011-01-27 08:46:00-05:00,1331.48,1331.0787861691026,1333.4390136072234,2011-01-27 08:47:00-05:00,1331.0787861691026,sl,-100.0,-1.0,1335.65,1331.88,Downtrend,Downtrend
17,2011-01-28,long,2011-01-28 08:22:00-05:00,1316.5,1315.376601273488,1321.9852381002236,2011-01-28 08:35:00-05:00,1315.376601273488,sl,-100.0,-1.0,1318.23,1315.38,Uptrend,Downtrend
18,2011-01-28,short,2011-01-28 09:41:00-05:00,1316.88,1318.234096679278,1310.2683290756233,2011-01-28 09:43:00-05:00,1318.234096679278,sl,-100.0,-1.0,1318.23,1312.93,Uptrend,Uptrend
19,2011-02-01,short,2011-02-01 09:30:00-05:00,1337.5,1339.556220883348,1327.460055262983,2011-02-01 10:11:00-05:00,1327.460055262983,tp,488.27170360557756,4.882717036055776,1339.55,1334.33,Uptrend,Downtrend
20,2011-02-02,short,2011-02-02 09:31:00-05:00,1336.306624920149,1336.8516489136516,1333.645426982015,2011-02-02 09:35:00-05:00,1336.8516489136516,sl,-100.0,-1.0,1336.85,1335.48,Downtrend,Downtrend
21,2011-02-02,long,2011-02-02 10:52:00-05:00,1334.4718123923421,1332.0928025520896,1346.087844268288,2011-02-02 11:53:00-05:00,1332.0928025520896,sl,-100.00000000000001,-1.0000000000000002,1338.08,1332.1,Downtrend,Downtrend
22,2011-02-03,long,2011-02-03 08:33:00-05:00,1329.13,1327.5251446764112,1336.9660544288924,2011-02-03 08:40:00-05:00,1336.9660544288924,tp,488.2717036055675,4.882717036055675,1332.23,1327.53,Uptrend,Uptrend
23,2011-02-03,short,2011-02-03 10:44:00-05:00,1332.85,1337.1429879906002,1311.888554402714,2011-02-03 11:55:00-05:00,1337.1429879906002,sl,-100.0,-1.0,1337.13,1324.78,Uptrend,Uptrend
24,2011-02-04,long,2011-02-04 08:31:00-05:00,1349.2097448752597,1346.8227784803573,1360.864626356142,2011-02-04 08:39:00-05:00,1346.8227784803573,sl,-100.0,-1.0,1352.83,1346.83,Downtrend,Downtrend
25,2011-02-07,short,2011-02-07 09:20:00-05:00,1350.88,1352.183944950416,1344.5132057765259,2011-02-07 12:00:00-05:00,1349.08,close,138.0426374154956,0.0,1352.18,1348.03,Uptrend,Uptrend
26,2011-02-07,long,2011-02-07 10:46:00-05:00,1347.13,1344.9734756589276,1357.6596981388236,2011-02-07 12:00:00-05:00,1349.08,close,90.42327799694482,0.0,1350.95,1344.98,Uptrend,Uptrend
27,2011-02-08,long,2011-02-08 08:02:00-05:00,1350.1637546698719,1349.4277733647768,1353.7573431264775,2011-02-08 08:26:00-05:00,1353.7573431264775,tp,488.27170360551304,4.88271703605513,1351.28,1349.43,Uptrend,Uptrend
28,2011-02-08,short,2011-02-08 10:26:00-05:00,1364.7307607285863,1366.234549557375,1357.3881853956304,2011-02-08 11:11:00-05:00,1366.234549557375,sl,-100.00000000000001,-1.0000000000000002,1366.23,1362.45,Uptrend,Uptrend
29,2011-02-09,short,2011-02-09 11:53:00-05:00,1362.58,1362.7806069154485,1361.6004931963882,2011-02-09 11:57:00-05:00,1361.6004931963882,tp,488.2717036057075,4.882717036057075,1362.78,1357.93,Downtrend,Uptrend
30,2011-02-10,long,2011-02-10 08:03:00-05:00,1356.63,1355.4464191988534,1362.409090141308,2011-02-10 08:30:00-05:00,1355.4464191988534,sl,-99.99999999999999,-0.9999999999999999,1358.68,1355.45,Downtrend,Uptrend
31,2011-02-11,short,2011-02-11 10:04:00-05:00,1365.53,1368.258254050101,1352.208707470884,2011-02-11 12:00:00-05:00,1360.73,close,175.93669474520829,0.0,1368.25,1360.68,Downtrend,Downtrend
32,2011-02-14,short,2011-02-14 11:15:00-05:00,1364.78,1366.2845518658644,1357.433698972914,2011-02-14 11:20:00-05:00,1366.2845518658644,sl,-100.0,-1.0,1366.28,1361.03,Downtrend,Downtrend
