,day,side,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_dollars,rr,ote_low_used,ote_high_used,4h_trend,1h_trend
0,2012-01-04,long,2012-01-04 08:56:00-05:00,1596.3,1593.2299586381823,1611.3171449205752,2012-01-04 09:48:00-05:00,1611.3171449205752,tp,489.1512247145837,4.891512247145837,1593.28,1601.29,,Uptrend
1,2012-01-04,short,2012-01-04 10:53:00-05:00,1611.45,1614.7945152584039,1595.090262652751,2012-01-04 12:00:00-05:00,1610.54,close,27.20872621865038,0.0,1602.71,1614.74,,Uptrend
2,2012-01-05,long,2012-01-05 09:43:00-05:00,1599.6,1596.6926098361596,1613.821534593657,2012-01-05 12:00:00-05:00,1610.01,close,358.0530789940385,0.0,1596.74,1604.29,Uptrend,Uptrend
3,2012-01-06,long,2012-01-06 08:40:00-05:00,1618.4,1617.5155841109995,1622.7261311526167,2012-01-06 08:41:00-05:00,1617.5155841109995,sl,-100.0,-1.0,1617.53,1627.27,Uptrend,Uptrend
4,2012-01-06,short,2012-01-06 11:16:00-05:00,1622.09,1631.2492955860848,1577.287193465436,2012-01-06 12:00:00-05:00,1617.21,close,53.279206398947665,0.0,1608.34,1631.1,Uptrend,Uptrend
5,2012-01-09,long,2012-01-09 09:43:00-05:00,1615.01,1612.255095334263,1628.485649912172,2012-01-09 10:51:00-05:00,1612.255095334263,sl,-100.0,-1.0,1612.3,1622.1,Downtrend,Downtrend
6,2012-01-10,short,2012-01-10 09:35:00-05:00,1635.23353616835,1636.673470787782,1628.1900783423089,2012-01-10 10:02:00-05:00,1636.673470787782,sl,-100.0,-1.0,1633.1,1636.65,Downtrend,Downtrend
7,2012-01-11,long,2012-01-11 08:21:00-05:00,1635.8,1633.614374527183,1646.4910137679585,2012-01-11 08:25:00-05:00,1633.614374527183,sl,-100.0,-1.0,1633.65,1641.43,Downtrend,Uptrend
8,2012-01-12,short,2012-01-12 08:49:00-05:00,1655.1168510253137,1657.0921979539428,1645.4544173315621,2012-01-12 09:07:00-05:00,1657.0921979539428,sl,-100.0,-1.0,1652.19,1657.06,Downtrend,Uptrend
9,2012-01-13,long,2012-01-13 07:52:00-05:00,1640.48,1638.7213339218727,1649.0825366597999,2012-01-13 07:55:00-05:00,1638.7213339218727,sl,-100.0,-1.0,1638.75,1643.37,Downtrend,Downtrend
10,2012-01-17,long,2012-01-17 11:21:00-05:00,1657.95,1656.841938713781,1663.3700953521288,2012-01-17 12:00:00-05:00,1659.84,close,170.56818278066643,0.0,1656.86,1661.1,Downtrend,Downtrend
11,2012-01-18,long,2012-01-18 10:07:00-05:00,1643.29,1643.1985087011378,1643.7375308088908,2012-01-18 10:07:00-05:00,1643.1985087011378,sl,-100.00000000000001,-1.0000000000000002,1643.2,1648.93,Uptrend,Uptrend
12,2012-01-19,long,2012-01-19 11:08:00-05:00,1654.4,1651.6349296343894,1667.9253755576044,2012-01-19 11:21:00-05:00,1651.6349296343894,sl,-100.0,-1.0,1651.68,1660.58,Downtrend,Downtrend
13,2012-01-20,long,2012-01-20 08:31:00-05:00,1647.3881130267753,1644.9909260969605,1659.113982252663,2012-01-20 10:22:00-05:00,1659.113982252663,tp,489.15122471461467,4.891512247146147,1645.03,1650.94,Uptrend,Uptrend
14,2012-01-23,long,2012-01-23 10:26:00-05:00,1674.05,1671.7830489281941,1685.1388189314182,2012-01-23 12:00:00-05:00,1679.37,close,234.67643683029004,0.0,1671.82,1677.88,Downtrend,Uptrend
15,2012-01-23,short,2012-01-23 10:49:00-05:00,1676.11,1677.9093288776216,1667.3085607584696,2012-01-23 11:16:00-05:00,1677.9093288776216,sl,-100.0,-1.0,1673.4,1677.88,Downtrend,Uptrend
16,2012-01-24,long,2012-01-24 08:33:00-05:00,1665.51,1664.2087904161833,1671.874882615343,2012-01-24 08:43:00-05:00,1664.2087904161833,sl,-100.00000000000001,-1.0000000000000002,1664.23,1668.43,Uptrend,Downtrend
17,2012-01-25,long,2012-01-25 08:41:00-05:00,1654.654792545891,1653.3487110037584,1661.0435064050043,2012-01-25 09:00:00-05:00,1653.3487110037584,sl,-100.0,-1.0,1653.37,1656.59,Uptrend,Downtrend
18,2012-01-26,short,2012-01-26 09:51:00-05:00,1727.22,1728.6330322824258,1720.3081352849015,2012-01-26 09:57:00-05:00,1728.6330322824258,sl,-100.0,-1.0,1722.47,1728.61,Downtrend,Downtrend
19,2012-01-27,short,2012-01-27 09:10:00-05:00,1722.02,1724.3581109709205,1710.5831015505555,2012-01-27 09:34:00-05:00,1724.3581109709205,sl,-100.0,-1.0,1717.62,1724.32,Downtrend,Uptrend
20,2012-01-30,short,2012-01-30 08:51:00-05:00,1727.12,1728.746511979771,1719.1638967308202,2012-01-30 09:20:00-05:00,1728.746511979771,sl,-100.0,-1.0,1724.03,1728.72,Uptrend,Uptrend
21,2012-01-31,long,2012-01-31 07:52:00-05:00,1739.34,1738.801217906701,1741.9754592079153,2012-01-31 08:00:00-05:00,1738.801217906701,sl,-100.0,-1.0,1738.81,1740.36,Uptrend,Downtrend
22,2012-01-31,short,2012-01-31 09:52:00-05:00,1744.45,1747.154076166369,1731.2229783149908,2012-01-31 11:11:00-05:00,1731.2229783149908,tp,489.1512247146163,4.891512247146164,1740.32,1747.11,Uptrend,Downtrend
23,2012-02-01,short,2012-02-01 08:27:00-05:00,1749.14,1751.091814375725,1739.5926760769862,2012-02-01 10:01:00-05:00,1739.5926760769862,tp,489.15122471456897,4.891512247145689,1744.27,1751.06,Downtrend,Downtrend
24,2012-02-02,long,2012-02-02 08:22:00-05:00,1744.31,1743.7508865069537,1747.04491049878,2012-02-02 08:30:00-05:00,1747.04491049878,tp,489.1512247145869,4.891512247145869,1743.76,1745.96,Uptrend,Uptrend
25,2012-02-02,short,2012-02-02 11:54:00-05:00,1757.96,1759.9931399747136,1748.0148709135262,2012-02-02 12:00:00-05:00,1758.85,close,-43.77465452791884,0.0,1754.5,1759.96,Uptrend,Downtrend
26,2012-02-03,long,2012-02-03 08:32:00-05:00,1753.64,1753.5281773013908,1754.1869820997567,2012-02-03 08:32:00-05:00,1754.1869820997567,tp,489.1512247147583,4.891512247147583,1753.53,1761.91,Downtrend,Downtrend
27,2012-02-06,long,2012-02-06 09:37:00-05:00,1716.15,1713.8830489281943,1727.2388189314183,2012-02-06 12:00:00-05:00,1723.41,close,320.2539344714143,0.0,1713.92,1720.4,Uptrend,Uptrend
28,2012-02-07,long,2012-02-07 10:39:00-05:00,1730.79,1730.4037034048044,1732.6795745264294,2012-02-07 10:41:00-05:00,1732.6795745264294,tp,489.15122471453975,4.891512247145397,1730.41,1734.3,Uptrend,Uptrend
29,2012-02-08,long,2012-02-08 09:28:00-05:00,1740.05,1739.318069609103,1743.6302464711307,2012-02-08 09:33:00-05:00,1743.6302464711307,tp,489.15122471464275,4.891512247146427,1739.33,1743.16,Downtrend,Downtrend
30,2012-02-09,long,2012-02-09 08:37:00-05:00,1732.13,1731.8046976040457,1733.7212206538368,2012-02-09 08:38:00-05:00,1733.7212206538368,tp,489.1512247145416,4.891512247145417,1731.81,1739.22,Downtrend,Uptrend
31,2012-02-09,short,2012-02-09 10:15:00-05:00,1747.33,1749.4342998738286,1737.0367913954988,2012-02-09 12:00:00-05:00,1747.66,close,-15.682175535168742,0.0,1743.54,1749.4,Downtrend,Downtrend
32,2012-02-10,long,2012-02-10 11:21:00-05:00,1718.9,1716.1857581337574,1732.1767473304428,2012-02-10 12:00:00-05:00,1720.4,close,55.26405066017388,0.0,1716.23,1724.27,Uptrend,Downtrend
33,2012-02-13,long,2012-02-13 11:46:00-05:00,1721.4440290013572,1717.3838189899448,1741.3045959981655,2012-02-13 12:00:00-05:00,1720.75,close,-17.093426187473494,0.0,1717.45,1727.46,Downtrend,Uptrend
34,2012-02-14,long,2012-02-14 09:40:00-05:00,1723.93,1722.9134300126432,1728.9025645432368,2012-02-14 09:59:00-05:00,1722.9134300126432,sl,-100.0,-1.0,1722.93,1726.44,Downtrend,Downtrend
35,2012-02-14,short,2012-02-14 10:27:00-05:00,1724.769092258775,1727.6570738053538,1710.6424951541524,2012-02-14 12:00:00-05:00,1720.95,close,132.24088163925273,0.0,1720.49,1727.61,Downtrend,Downtrend
36,2012-02-15,short,2012-02-15 08:20:00-05:00,1726.7450303239907,1728.7933880220558,1716.7254635573695,2012-02-15 08:22:00-05:00,1728.7933880220558,sl,-100.0,-1.0,1723.71,1728.76,Downtrend,Uptrend
37,2012-02-15,long,2012-02-15 11:13:00-05:00,1728.3,1723.6339437580323,1751.1240712534566,2012-02-15 12:00:00-05:00,1732.41,close,88.08295028752023,0.0,1723.71,1737.19,Downtrend,Downtrend
